tool_id,g1,g2,g3,g4,g5,description,scope,returns,inputs
infra.l2_bridge_weekly_users,infra,bridge,l2_bridge_weekly_users,Weekly Unique Users,Ethereum Bridges,Counts unique weekly bridgers across L2 protocols.,generic,"[""dt:date"",""chain:string"",""unique_users:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
infra.contract_gas_growth_detector,infra,gas,contract_gas_growth_detector,Daily Gas Growth,Ethereum Transactions,Detects contracts with accelerating daily gas usage.,generic,"[""contract_address:string"",""growth_rate:number"",""total_gas:number""]","[{""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": true, ""default"": ""10""}, {""key"": ""min_usd"", ""label"": ""Min USD"", ""type"": ""min_usd"", ""required"": true, ""default"": ""0.05""}]"
infra.block_fullness_metrics,infra,blocks,block_fullness_metrics,Block Fullness Trends,Ethereum Blocks,"Computes block fullness, base fee changes, and 30-block moving averages.",generic,"[""block_number:number"",""fullness:number"",""base_fee_rate:number"",""fullness_ma:number"",""base_fee_ma:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
infra.top_bridge_depositors,infra,bridge,top_bridge_depositors,Bridged ETH Leaderboard,Bridge Transactions,Ranks top depositors by total bridged ETH with tx count and average.,protocol,"[""rank:number"",""wallet:string"",""total_eth:number"",""tx_count:number"",""avg_eth:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""top_n"", ""label"": ""Top N"", ""type"": ""top_n"", ""required"": false, ""default"": ""100""}]"
infra.missed_slots_trends,infra,blocks,missed_slots_trends,Missed Slots MAs,Ethereum Blocks,Calculates missed slots per minute with 30/60/120-minute moving averages.,generic,"[""time:string"",""blocks_per_min:number"",""missed_blocks:number"",""ma_30min:number"",""ma_60min:number"",""ma_120min:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": ""10""}]"
nft.user_action_classifier,nft,dex,user_action_classifier,Buyer/Seller Counts,DEX Transactions,"Classifies users as buyers, sellers, or swappers by function signatures.",protocol,"[""buyers:number"",""sellers:number"",""swappers:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
nft.user_cohort_retention,nft,marketplace,user_cohort_retention,Cohort Retention,Marketplace Txs,Computes new vs returning user retention at 1/3/6 months via first interaction.,protocol,"[""cohort_date:string"",""new_users:number"",""retained_1m:number"",""retained_3m:number"",""retained_6m:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
infra.weekday_gas_percentiles,infra,gas,weekday_gas_percentiles,Gas Price Percentiles,Ethereum Transactions,"Computes average, median, and P90 gas prices by weekday.",generic,"[""weekday:string"",""avg_gwei:number"",""median_gwei:number"",""p90_gwei:number""]","[{""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""7""}]"
wallet.dormant_wallet_reawakening,wallet,wallet,dormant_wallet_reawakening,Reawakened Wallets,Ethereum Transactions,Identifies wallets dormant over 30 days now active.,generic,"[""wallet:string"",""days_dormant:number""]","[{""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": true, ""default"": ""30""}]"
wallet.investor_category_volume,wallet,wallet,investor_category_volume,Tx by Category,Ethereum Transactions,Categorizes transactions by investor size thresholds.,generic,"[""category:string"",""tx_count:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}, {""key"": ""min_usd"", ""label"": ""Min USD"", ""type"": ""min_usd"", ""required"": false, ""default"": ""1000""}]"
token.ethscription_minter_activity,token,inscription,ethscription_minter_activity,Inscription Mints,Ethereum Transactions,Extracts ERC-20 ethscription mints and transfers.,generic,"[""block_time:timestamp"",""creator:string"",""owner:string""]","[{""key"": ""chain"", ""label"": ""Chain"", ""type"": ""chain"", ""required"": false, ""default"": ""ethereum""}]"
infra.wallet_gas_cumulative,infra,gas,wallet_gas_cumulative,Cumulative Gas Fees,Ethereum Transactions,Computes cumulative gas fees paid by wallet over time.,generic,"[""block_time:string"",""cum_gas_fees:number""]","[{""key"": ""wallet_address"", ""label"": ""Wallet Address"", ""type"": ""wallet_address"", ""required"": true, ""default"": null}]"
infra.daily_transaction_stats,infra,gas,daily_transaction_stats,Daily Tx Metrics,Ethereum Transactions,"Aggregates daily transactions, success rate, and gas stats.",generic,"[""day:string"",""tx_count:number"",""success_rate:number"",""total_gas_eth:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}, {""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": false, ""default"": null}]"
infra.slot_utilization_metrics,infra,blocks,slot_utilization_metrics,Slot & Blob Fullness,Ethereum Blocks,"Computes hourly slot utilization, blob fullness, and configurable moving averages.",generic,"[""time:string"",""slot_utilization:number"",""ma_utilization:number"",""blob_fullness:number""]","[{""key"": ""ma_window"", ""label"": ""MA Window"", ""type"": ""number"", ""required"": true, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
mev.mev_searcher_leaderboard,mev,searcher,mev_searcher_leaderboard,Searcher Profit Leaderboard,Flashbots Builder Transfers,Ranks MEV searchers by profit from proposer payments in Flashbots blocks.,generic,"[""searcher:string"",""profit:number"",""blocks:number"",""transfer_count:number""]","[{""key"": ""block_from"", ""label"": ""Block From"", ""type"": ""number"", ""required"": false, ""default"": null}, {""key"": ""block_to"", ""label"": ""Block To"", ""type"": ""number"", ""required"": false, ""default"": null}]"
infra.eip7702_authorization_analyzer,infra,eip7702,eip7702_authorization_analyzer,EIP-7702 Authorizations,Wallet Delegation Analysis,Analyzes EIP-7702 txs for wallet delegations and classifications.,generic,"[""wallet:string"",""delegated_address:string"",""chain_id:number"",""category:string""]","[{""key"": ""block_from"", ""label"": ""Min Block"", ""type"": ""number"", ""required"": false, ""default"": ""22431086""}]"
infra.bridge_daily_deposits,infra,bridge,bridge_daily_deposits,Daily Bridge Metrics,Ethereum Transactions,"Computes daily unique depositors, total ETH volume, and average per tx for bridges.",generic,"[""day:string"",""unique_users:number"",""total_eth:number"",""avg_eth_per_tx:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}, {""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": true, ""default"": null}, {""key"": ""min_usd"", ""label"": ""Min USD"", ""type"": ""min_usd"", ""required"": false, ""default"": ""0""}]"
infra.gas_price_dow_percentiles,infra,gas,gas_price_dow_percentiles,Gas Price Percentiles,Ethereum Transactions,"Calculates avg, median, and 90th percentile gas prices by day of week.",generic,"[""day_of_week:string"",""avg_gwei:number"",""median_gwei:number"",""p90_gwei:number""]","[{""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": true, ""default"": ""7""}, {""key"": ""chain"", ""label"": ""Chain"", ""type"": ""chain"", ""required"": false, ""default"": ""ethereum""}]"
defi.dex_gas_leaderboard,defi,dex,dex_gas_leaderboard,DEX Gas Usage,Ethereum Transactions,Ranks DEX routers by total gas used over time intervals.,generic,"[""label:string"",""total_gas:number"",""tx_count:number"",""date:string""]","[{""key"": ""protocol"", ""label"": ""Protocol"", ""type"": ""protocol"", ""required"": false, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}, {""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": true, ""default"": null}, {""key"": ""top_n"", ""label"": ""Top N"", ""type"": ""top_n"", ""required"": false, ""default"": ""10""}]"
identity.dust_associated_addresses,identity,wallet,dust_associated_addresses,Associated Addresses,Ethereum Transactions,Identifies addresses linked by single low-gas transfers to/from target.,generic,"[""address:string""]","[{""key"": ""target_address"", ""label"": ""Target Address"", ""type"": ""wallet_address"", ""required"": true, ""default"": null}, {""key"": ""min_gas"", ""label"": ""Min Gas Threshold"", ""type"": ""number"", ""required"": false, ""default"": ""22000""}]"
infra.developer_protocol_interactions,infra,identity,developer_protocol_interactions,Dev Protocol Counts,Multi-Query Joins,Counts interactions of developers with protocols over time.,protocol:ethereum,"[""depositor_address:string"",""protocol_name:string"",""interaction_count:number""]","[{""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": true, ""default"": ""365""}, {""key"": ""namespace"", ""label"": ""Namespace Filter"", ""type"": ""text"", ""required"": false, ""default"": ""defi""}]"
infra.bridge_user_frequency_distribution,infra,bridge,bridge_user_frequency_distribution,User Bridge Frequency,Ethereum Bridge Activity,Buckets users by bridge transaction frequency revealing retention patterns.,generic,"[""count_group:string"",""num_users:number""]","[{""key"": ""protocol"", ""label"": ""Protocol"", ""type"": ""protocol"", ""required"": true, ""default"": ""zksync""}, {""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": false, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""30""}]"
identity.sybil_pattern_detector,identity,sybil,sybil_pattern_detector,Sybil Funding Patterns,MEXC Funded Sybils,Detects sybil wallets via nonce-zero empty-data txs funded by exchange in specific value ranges.,generic,"[""addr:string"",""rnk:number"",""suspicious:boolean""]","[{""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": true, ""default"": ""7""}, {""key"": ""min_value"", ""label"": ""Min Fund Amount"", ""type"": ""number"", ""required"": false, ""default"": ""0.00251""}, {""key"": ""max_value"", ""label"": ""Max Fund Amount"", ""type"": ""number"", ""required"": false, ""default"": ""0.0035""}]"
infra.weekly_wallet_retention,infra,wallet,weekly_wallet_retention,Weekly Retention Rates,Ethereum Transactions,"Computes 1-week, 2-week, and 3-week retention rates for weekly active wallets.",generic,"[""wk:string"",""retention_week_1:number"",""retention_week_2:number"",""retention_week_3:number""]","[{""key"": ""lookback_weeks"", ""label"": ""Lookback Weeks"", ""type"": ""number"", ""required"": false, ""default"": ""10""}]"
social.wallet_connection_degree,social,wallet,wallet_connection_degree,Wallet Network Degree,Transaction Graph,Ranks wallets by number of direct connections in recent period.,generic,"[""wallet:string"",""connected_count:number"",""label:string""]","[{""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""7""}]"
infra.bridge_user_activity_rank,infra,bridge,bridge_user_activity_rank,Bridger Activity Score,Bridge + Tx History,Ranks bridge depositors by total transaction count post-bridge.,protocol:generic_bridge,"[""wallet:string"",""tx_count:number"",""deposit_value:number""]","[{""key"": ""bridge_address"", ""label"": ""Bridge Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": false, ""default"": null}]"
token.daily_whale_activity,token,holders,daily_whale_activity,Whale daily volume,ethereum.transactions,Identifies whale addresses by daily ETH transfer volume exceeding threshold.,generic,"[""day:string"",""whale_address:string"",""eth_transferred:number"",""transaction_count:number""]","[{""key"": ""threshold_eth"", ""label"": ""Min daily ETH threshold"", ""type"": ""number"", ""required"": true, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}, {""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": false, ""default"": null}]"
wallet.cumulative_new_protocol_users,wallet,identity,cumulative_new_protocol_users,Cumulative new users,transactions first tx cohort,Computes daily new users by first interaction date and cumulative total.,protocol,"[""date:string"",""new_users:number"",""cumulative_users:number""]","[{""key"": ""protocol"", ""label"": ""Protocol"", ""type"": ""protocol"", ""required"": true, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
infra.gas_limit_raise_signals,infra,blocks,gas_limit_raise_signals,Gas Limit Signals,Ethereum Blocks,Counts daily blocks signalling gas limit raises with percentage.,generic,"[""time:string"",""count_raises:number"",""daily_pct:number""]","[{""key"": ""threshold_usd"", ""label"": ""Min USD Threshold"", ""type"": ""threshold_usd"", ""required"": false, ""default"": ""45000000""}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
infra.l2_settlement_gas,infra,l2,l2_settlement_gas,L2 settlement gas,transactions L2 contracts,Aggregates gas used for L2 settlement across multiple protocols.,generic,"[""dt:string"",""arbitrum:number"",""optimism:number"",""total_gas:number""]","[{""key"": ""interval"", ""label"": ""Interval"", ""type"": ""interval"", ""required"": true, ""default"": ""week""}, {""key"": ""l2_contracts"", ""label"": ""L2 contracts list"", ""type"": ""text"", ""required"": false, ""default"": null}]"
infra.contract_success_rate,infra,tx,contract_success_rate,Smart Contract Success,Daily Interaction Metrics,Computes daily success rate for contract calls with non-trivial data.,generic,"[""day:date"",""success_rate_pct:number"",""total_txs:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
infra.depositor_value_cohorts,infra,bridge,depositor_value_cohorts,Depositor Value Bins,Ethereum Bridge Txs,Bins unique depositors by total bridged value ranges.,generic,"[""value_range:string"",""wallet_count:number"",""percentage:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}, {""key"": ""min_usd"", ""label"": ""Min USD"", ""type"": ""min_usd"", ""required"": false, ""default"": ""0""}]"
infra.user_tx_count_cohorts,infra,bridge,user_tx_count_cohorts,User Tx Bins,Ethereum Bridge Txs,Bins unique users by number of bridge transactions.,generic,"[""tx_range:string"",""user_count:number"",""percentage:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
infra.user_activity_days_distribution,infra,bridge,user_activity_days_distribution,Active Days Bins,Ethereum Bridge Txs,Bins bridge users by distinct active days percentage.,generic,"[""days_bin:string"",""active_users:number"",""percentage:string""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
wallet.high_volume_trader_contracts,wallet,whale,high_volume_trader_contracts,Whale Contract Leaderboard,Ethereum Txs,Ranks contracts by interactions from high-volume ETH traders.,generic,"[""contract_address:string"",""interaction_count:number"",""unique_traders:number"",""total_value_eth:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": true, ""default"": ""30""}, {""key"": ""threshold_usd"", ""label"": ""Min USD Threshold"", ""type"": ""threshold_usd"", ""required"": true, ""default"": ""2000000""}]"
wallet.weekly_user_retention_cohort,wallet,cohort,weekly_user_retention_cohort,Weekly Retention Matrix,Ethereum Txs,Computes weekly cohort retention for active users.,generic,"[""cohort_week:string"",""activity_week:string"",""retention_rate:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": true, ""default"": ""90""}]"
infra.net_issuance_trends,infra,blocks,net_issuance_trends,Net Issuance MAs,Ethereum Blocks,Calculates net ETH issuance per block with 1/5/30-block moving averages.,generic,"[""block_number:number"",""net_issuance_1ma:number"",""net_issuance_5ma:number"",""net_issuance_30ma:number""]","[{""key"": ""min_block"", ""label"": ""Min Block"", ""type"": ""number"", ""required"": false, ""default"": ""12965000""}]"
wallet.high_freq_transfer_detector,wallet,bot,high_freq_transfer_detector,Bot signals,Rolling transfers,Detects wallets with >=3000 transfers to same address in rolling 1-day window.,generic,"[""wallet:string"",""recipient:string"",""transfers:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}, {""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": true, ""default"": null}, {""key"": ""threshold number of transfers"", ""label"": ""Threshold Number Of Transfers"", ""type"": ""number"", ""required"": false, ""default"": ""3000""}]"
wallet.user_cohort_activity,wallet,cohort,user_cohort_activity,Cohort metrics,Monthly user summary,"Computes monthly cohort metrics by initial active date: avg txs, gas, ETH transferred.",generic,"[""block_date:string"",""user_count:number"",""avg_tx_count:number"",""avg_gas:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}]"
infra.blob_submitter_metrics,infra,blob,blob_submitter_metrics,Blob activity,Hourly submitters,Aggregates blobs per submitter hourly with entity labels.,generic,"[""time:string"",""submitter:string"",""blobs:number"",""is_relevant:boolean""]","[{""key"": ""block_number_min"", ""label"": ""Min block"", ""type"": ""number"", ""required"": false, ""default"": ""19426589""}]"
infra.daily_tx_growth,infra,gas,daily_tx_growth,Transaction Growth Metrics,Ethereum Transactions,Calculates daily transactions with percentage change.,generic,"[""day:string"",""tx_count:number"",""perc_change:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""90""}]"
token.hodl_wave_distribution,token,holders,hodl_wave_distribution,Holder Age Distribution,Ethereum Transactions,Estimates HODL waves from sampled recent active holders.,generic,"[""address:string"",""first_tx:string"",""last_tx:string"",""age_days:number""]","[{""key"": ""sample_size"", ""label"": ""Sample Size"", ""type"": ""number"", ""required"": false, ""default"": ""1000""}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""7""}]"
infra.gas_price_percentiles,infra,gas,gas_price_percentiles,Gas Price Distribution,Ethereum Transactions,"Computes daily mean, median gas fees and deviation.",generic,"[""time:string"",""gas_fees_mean:number"",""gas_fees_median:number"",""shock:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}, {""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": false, ""default"": null}]"
infra.l2_bridge_daily_metrics,infra,bridge,l2_bridge_daily_metrics,Bridge Deposits Metrics,Ethereum Transactions,"Aggregates daily unique depositors, tx count, volume, avg deposit for L2 bridges.",protocol,"[""time:string"",""unique_wallets:number"",""txs:number"",""eth_volume:number"",""avg_eth_per_tx:number""]","[{""key"": ""bridge_address"", ""label"": ""Bridge Contract"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": ""180 days ago""}]"
wallet.wallet_age_distribution,wallet,cohort,wallet_age_distribution,Age cohorts,First tx cohort,Classifies wallets into age cohorts based on days since first transaction.,generic,"[""cohort:string"",""wallet_count:number""]","[{""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": true, ""default"": null}]"
defi.suspicious_wallet_clusters,defi,wallet,suspicious_wallet_clusters,Wash Trading Clusters,Ethereum Transactions,Detects wallet clusters with repeated transfers interacting with contract.,generic,"[""from:string"",""to:string"",""transaction_count:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""min_count"", ""label"": ""Min Transfer Count"", ""type"": ""number"", ""required"": false, ""default"": ""2""}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
nft.minter_experience_classifier,nft,wallet,minter_experience_classifier,Minter Experience Cohorts,Ethereum Transactions,Classifies minters by prior tx count at mint time.,generic,"[""experience_cohort:string"",""wallet_count:number""]","[{""key"": ""mint_contract"", ""label"": ""Mint Contract"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
infra.active_addresses_timeseries,infra,wallet,active_addresses_timeseries,Active Addresses,Ethereum Transactions,Counts unique addresses sending or receiving transactions.,generic,"[""time:timestamp"",""active_accounts:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
infra.new_wallets_timeseries,infra,wallet,new_wallets_timeseries,New Wallets,Ethereum Transactions,Counts first-time active wallets by period.,generic,"[""period:date"",""new_wallets_count:number""]","[{""key"": ""interval"", ""label"": ""Interval"", ""type"": ""interval"", ""required"": true, ""default"": ""'month'""}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
infra.gas_price_weekday_percentiles,infra,gas,gas_price_weekday_percentiles,Gas Price Percentiles,Ethereum Transactions,Computes gas price statistics by weekday.,generic,"[""weekday:string"",""avg_gas_price:number"",""median_gas_price:number"",""p90_gas_price:number""]","[{""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""7""}]"
infra.wallet_nonce_classifier,infra,wallet,wallet_nonce_classifier,Nonce Classification,Ethereum Transactions,Classifies wallets by nonce and value patterns.,generic,"[""classification:string"",""wallet:string"",""max_nonce:number"",""total_value:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
infra.bridge_net_tvl_pareto,infra,bridge,bridge_net_tvl_pareto,TVL Percentiles,Ethereum Transactions,Computes net TVL per wallet from bridge inflows/outflows and percentile ranks.,generic,"[""percentile:number"",""tvl:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": null}]"
infra.block_fill_distribution,infra,blocks,block_fill_distribution,Fill Categories,Ethereum Blocks,Categorizes blocks by monthly fill percentage buckets.,generic,"[""block_month:string"",""fill_type:string"",""block_count:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
infra.bridge_long_term_users,infra,bridge,bridge_long_term_users,Retention Span,Ethereum Transactions,Counts wallets with interaction span exceeding threshold days.,generic,"[""addresses_count:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""threshold_days"", ""label"": ""Min Span Days"", ""type"": ""number"", ""required"": true, ""default"": ""7""}]"
infra.bridge_activity_months,infra,bridge,bridge_activity_months,Active Months,Ethereum Transactions,Classifies bridgers by distinct active months count.,generic,"[""months:number"",""wallets:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
token.whale_exchange_flows,token,holders,whale_exchange_flows,Whale Deposits to Exchanges,Ethereum Transactions,Detects whale transfers to exchanges.,generic,"[""from_address:string"",""to_address:string"",""eth_amount:number"",""block_time:timestamp"",""transaction_hash:string""]","[{""key"": ""threshold_eth"", ""label"": ""Minimum ETH threshold"", ""type"": ""number"", ""required"": true, ""default"": null}, {""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": false, ""default"": null}, {""key"": ""chain"", ""label"": ""Chain"", ""type"": ""chain"", ""required"": false, ""default"": ""ethereum""}]"
infra.slot_utilization,infra,blocks,slot_utilization,Missed Slots & Fullness,Ethereum Blocks,"Computes slot utilization, missed blocks, and blob fullness with moving averages.",generic,"[""time:string"",""slot_utilization:number"",""ma:number"",""ma_inv:number"",""blob_fullness:number""]","[{""key"": ""ma_window"", ""label"": ""MA Window"", ""type"": ""number"", ""required"": true, ""default"": ""24""}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
infra.transaction_type_breakdown,infra,tx,transaction_type_breakdown,Tx categories,Ethereum tx types,"Categorizes transactions as contract creations, calls, or ETH transfers.",generic,"[""tx_type:string"",""count:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}, {""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": false, ""default"": null}]"
defi.bridge_depositor_distribution,defi,bridge,bridge_depositor_distribution,Depositor Buckets,Ethereum Transactions,Buckets depositors by total bridged amount.,generic,"[""bucket:string"",""depositors:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""min_usd"", ""label"": ""Min USD"", ""type"": ""min_usd"", ""required"": false, ""default"": null}]"
nft.minter_still_holding,nft,holders,minter_still_holding,Minter Retention,Mint vs current holders,Compares unique minters to current holders.,generic,"[""minters:number"",""current_holders:number"",""retention_pct:number""]",[]
wallet.wallet_nonce_distribution,wallet,bridge,wallet_nonce_distribution,User Experience Tiers,Bridge tx nonce analysis,Classifies bridge users into tiers by maximum nonce revealing tx sophistication levels.,generic,"[""nonce_range:string"",""wallet_count:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""365""}]"
token.monthly_nonzero_holders,token,holders,monthly_nonzero_holders,Holder Growth Trend,ETH balance snapshots,Computes monthly count of addresses holding positive ETH balance from tx flows.,generic,"[""date:string"",""non_zero_addresses:number""]","[{""key"": ""min_eth"", ""label"": ""Min Balance"", ""type"": ""number"", ""required"": false, ""default"": ""0.001""}]"
wallet.counterparty_network_size,wallet,identity,counterparty_network_size,Avg Interaction Degree,Wallet graph analysis,Averages distinct senders interacting with a wallet's counterparties.,generic,"[""avg_degree:number""]","[{""key"": ""wallet_address"", ""label"": ""Wallet Address"", ""type"": ""wallet_address"", ""required"": true, ""default"": null}]"
token.holder_balance_buckets,token,holders,holder_balance_buckets,Balance Tier Counts,Dune query 1979430,Classifies holders into balance tiers revealing distribution.,generic,"[""tier:string"",""holder_count:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
infra.depositor_value_buckets,infra,bridge,depositor_value_buckets,Deposit distribution,Value cohorts,Buckets unique depositors by total value ranges to bridge contract.,protocol:bridge,"[""bucket:string"",""users:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""min_usd"", ""label"": ""Min USD"", ""type"": ""min_usd"", ""required"": false, ""default"": ""0""}]"
infra.wallet_activity_buckets,infra,bridge,wallet_activity_buckets,Bridge user activity,Active days/nonces,Buckets bridge wallets by active days or nonce count.,generic,"[""activity_range:string"",""wallet_count:number""]",[]
wallet.reverse_tx_detector,wallet,identity,reverse_tx_detector,Paired reverse transfers,Circular flow signals,Detects A-to-B followed by B-to-A tx pairs as potential cycles.,generic,"[""wallet:string"",""pair_count:number""]",[]
infra.protocol_gas_efficiency,infra,gas,protocol_gas_efficiency,Gas Efficiency Score,Ethereum Transactions,Ranks top protocols by gas efficiency metrics.,generic,"[""contract_address:string"",""tx_count:number"",""avg_gas_used:number"",""efficiency_score:number""]","[{""key"": ""since"", ""label"": ""Analysis Period"", ""type"": ""date_from"", ""required"": false, ""default"": ""365 days ago""}]"
